,Unnamed: 0,sklearn_accuracy_1,sklearn_f1_score_1,sklearn_precision_1,sklearn_recall_1,sklearn_time_1,sklearn_e_accuracy_1,sklearn_e_f1_score_1,sklearn_e_precision_1,sklearn_e_recall_1,sklearn_e_time_1,sklearn_m_accuracy_1,sklearn_m_f1_score_1,sklearn_m_precision_1,sklearn_m_recall_1,sklearn_m_time_1,sklearn_v_accuracy_1,sklearn_v_f1_score_1,sklearn_v_precision_1,sklearn_v_recall_1,sklearn_v_time_1,autoweka_accuracy_1,autoweka_f1_score_1,autoweka_precision_1,autoweka_recall_1,autoweka_time_1,recipe_valid_acc,recipe_valid_precision,recipe_valid_recall,recipe_valid_f1,recipe_train_acc,recipe_train_precision,recipe_train_recall,recipe_train_f1,recipe_test_acc,recipe_test_precision,recipe_test_recall,recipe_test_f1,smartml_model,smartml_train_acc,smartml_valid_acc,tpot_accuracy_1,tpot_f1_score_1,tpot_precision_1,tpot_recall_1,tpot_time_1
0,AP_Breast_Lung,0.9661016949152542,0.9661016949152542,0.9661016949152542,0.9661016949152542,1795.8552768230438,0.9576271186440678,0.9574362666658685,0.9574126106528896,0.9576271186440678,1798.182243347168,0.9491525423728814,0.9486812290401522,0.9488815530153726,0.9491525423728814,1796.6031804084778,0.9745762711864406,0.9744617599995208,0.9745188676395056,0.9745762711864406,1796.9970111846924,0.0,0.0,0.0,0.0,1980.0,0.9528301886792452,0.9530957372466806,0.9528301886792452,0.951940192239231,1.0,1.0,1.0,1.0,0.8898305084745762,0.8975526509715704,0.8898305084745762,0.8825852150497444,c50,1.0,"0.915254237288136
",,,,,1809.7591013908386
1,AP_Omentum_Ovary,0.8405797101449275,0.8364843534882278,0.836202373926159,0.8405797101449275,1795.9526891708374,,,,,,,,,,,0.7536231884057971,0.7517088386653604,0.7501296720061023,0.7536231884057971,1799.5987136363985,0.0,0.0,0.0,0.0,1980.0,0.8064516129032258,0.8145852252536819,0.8064516129032258,0.8096285434995113,0.9902912621359224,0.9906203718940266,0.9902912621359224,0.9903421583619104,0.7826086956521741,0.7740220798691564,0.7826086956521741,0.7601945183573423,naiveBayes,0.7766990291262141,"0.333333333333333
",,,,,1801.2719597816467
2,AP_Prostate_Ovary,0.9850746268656716,0.9848445844173628,0.9853459972862958,0.9850746268656716,1797.3334991931915,1.0,1.0,1.0,1.0,1796.8647227287292,0.9402985074626866,0.941867481997023,0.9456946039035592,0.9402985074626866,1796.7728135585785,0.9850746268656716,0.9848445844173628,0.9853459972862958,0.9850746268656716,1797.7141599655151,0.9701492537313432,0.9701492537313432,0.9701492537313432,0.9701492537313432,1539.0,0.9833333333333332,0.9842592592592592,0.9833333333333332,0.9834733893557422,1.0,1.0,1.0,1.0,0.9701492537313432,0.9741293532338308,0.9701492537313432,0.9709337409985116,naiveBayes,0.96,"0.805970149253731
",0.9850746268656716,0.9848445844173628,0.9853459972862958,0.9850746268656716,1805.461100578308
3,AirlinesCodrnaAdult,0.7868780600153047,0.7870621017252353,0.7873383340652366,0.7868780600153047,1803.3267304897308,0.7973647649685361,0.7980872544978227,0.804017202518743,0.7973647649685361,1806.2225210666656,0.7868780600153047,0.7870621017252353,0.7873383340652366,0.7868780600153047,1805.2111313343048,0.7868780600153047,0.7870621017252353,0.7873383340652366,0.7868780600153047,1811.4684998989105,0.0,0.0,0.0,0.0,1980.0,,,,,,,,,,,,,,,"NA
",,,,,1980.0007936954496
4,Amazon,0.8079999999999999,0.7931305740882211,0.8324071484071485,0.8079999999999999,1796.3045632839205,0.792,0.7831981210507635,0.8187569097569097,0.792,1798.4870924949646,0.6453333333333333,0.6337870749404845,0.6700809930809931,0.6453333333333333,1795.7703948020935,0.6773333333333333,0.6595301964935384,0.7381651253230199,0.6773333333333333,1796.268835067749,0.5173333333333333,0.5170484657642553,0.5522736781736782,0.5173333333333333,1792.0,,,,,,,,,,,,,,,,,,,,1947.4314260482788
5,CovPokElec,0.4448337647918831,0.27390982010643,0.1978770782989204,0.4448337647918831,1796.3680613040924,0.4448337647918831,0.27390982010643,0.1978770782989204,0.4448337647918831,1797.05286693573,0.4448337647918831,0.27390982010643,0.1978770782989204,0.4448337647918831,1796.9055132865906,0.4625263134752475,0.30283948550815964,0.2375868119732872,0.4625263134752475,1797.074136018753,0.0,0.0,0.0,0.0,403.0,,,,,,,,,,,,,,,,,,,,1980.00075507164
6,GCM,0.75,0.7264550264550266,0.7788194444444444,0.75,1797.4318373203278,0.75,0.7223214285714286,0.7690972222222223,0.75,1797.2641241550446,0.7291666666666666,0.7224867724867726,0.7864583333333334,0.7291666666666666,1797.719515323639,0.7916666666666666,0.7660849567099568,0.8152777777777778,0.7916666666666666,1798.3117892742155,0.0,0.0,0.0,0.0,1980.0,,,,,,,,,,,,,svm,0.840579710144927,"0.625
",,,,,1980.0011579990387
7,KDDCup99,0.9996437391198736,0.9996014678097828,0.9995775917505564,0.9996437391198736,1794.7059769630432,,,,,,,,,,,0.9996194486053196,0.9995806231348708,0.9995639656320708,0.9996194486053196,1795.238780260086,0.0,0.0,0.0,0.0,1980.0,,,,,,,,,,,,,,,,,,,,1989.4660322666168
8,MagicTelescope,0.8786540483701367,0.8767674979900185,0.8781348583701845,0.8786540483701367,1795.6822996139526,0.8807570977917981,0.8786105080817999,0.8807014592369383,0.8807570977917981,1796.729437828064,0.8849631966351209,0.8835083091128588,0.8843172035703285,0.8849631966351209,1796.542998790741,0.8715036803364878,0.8687862865299631,0.8716140199737189,0.8715036803364878,1795.5323345661166,0.8332281808622503,0.8288345947743826,0.8320568493900877,0.8332281808622503,1639.0,,,,,,,,,,,,,randomForest,0.9916579039607429,"0.876340694006309
",0.8763406940063091,0.8737875069017941,0.8765920923841775,0.8763406940063091,1805.1449663639069
9,aaaData_for_UCI_named,1.0,1.0,1.0,1.0,1795.5690708160398,1.0,1.0,1.0,1.0,1796.262137413025,1.0,1.0,1.0,1.0,1795.7773864269254,1.0,1.0,1.0,1.0,1796.4155554771426,1.0,1.0,1.0,1.0,1583.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3452,0.11916304,0.3452,0.17716776687481414,randomForest,1.0,"1
",1.0,1.0,1.0,1.0,1803.6409635543826
