dataset,accuracy_1,accuracy_2,accuracy_3,accuracy_mean,accuracy_std,error_1,error_2,error_3,f1score_1,f1score_2,f1score_3,f1score_mean,f1score_std,model_1,model_2,model_3,precision_1,precision_2,precision_3,precision_mean,precision_std,recall_1,recall_2,recall_3,recall_mean,recall_std,time_1,time_2,time_3
AP_Breast_Lung,0.0,0.0,0.0,0.0,0.0,Timeout,Timeout,Timeout,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1980.0,1980.0,1980.0
AP_Omentum_Ovary,0.0,0.0,0.0,0.0,0.0,Timeout,Timeout,Timeout,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1980.0,1980.0,1980.0
AP_Prostate_Ovary,0.9701492537313432,0.9701492537313432,0.9701492537313432,0.9701492537313432,0.0,,,,0.9701492537313432,0.9701492537313432,0.9701492537313432,0.9701492537313432,0.0,"best classifier: weka.classifiers.meta.RandomSubSpace
arguments: [-I, 27, -P, 0.47798001052715733, -S, 1, -W, weka.classifiers.trees.J48, --, -B, -J, -A, -S, -M, 4]","best classifier: weka.classifiers.meta.RandomSubSpace
arguments: [-I, 27, -P, 0.47798001052715733, -S, 1, -W, weka.classifiers.trees.J48, --, -B, -J, -A, -S, -M, 4]","best classifier: weka.classifiers.meta.RandomSubSpace
arguments: [-I, 27, -P, 0.47798001052715733, -S, 1, -W, weka.classifiers.trees.J48, --, -B, -J, -A, -S, -M, 4]",0.9701492537313432,0.9701492537313432,0.9701492537313432,0.9701492537313432,0.0,0.9701492537313432,0.9701492537313432,0.9701492537313432,0.9701492537313432,0.0,1539.0,1562.0,1562.0
AirlinesCodrnaAdult,0.0,0.0,0.0,0.0,0.0,Timeout,Timeout,Timeout,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1980.0,1980.0,1980.0
Amazon,0.5173333333333333,0.5173333333333333,0.5173333333333333,0.5173333333333333,0.0,,,,0.5170484657642553,0.5170484657642553,0.5170484657642553,0.5170484657642553,0.0,"best classifier: weka.classifiers.bayes.NaiveBayesMultinomial
arguments: []","best classifier: weka.classifiers.bayes.NaiveBayesMultinomial
arguments: []","best classifier: weka.classifiers.bayes.NaiveBayesMultinomial
arguments: []",0.5522736781736782,0.5522736781736782,0.5522736781736782,0.5522736781736782,0.0,0.5173333333333333,0.5173333333333333,0.5173333333333333,0.5173333333333333,0.0,1792.0,1789.0,1798.0
CovPokElec,0.0,0.0,0.0,0.0,0.0,,Timeout,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.0,1981.0,568.0
CovPokElec,0.0,0.0,,0.0,0.0,,Timeout,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,1872.0,1980.0,
GCM,0.0,,,0.0,0.0,Timeout,,,0.0,,,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,1980.0,,
KDDCup99,0.0,0.0,0.9993036719161168,0.3331012239720389,0.4710762685843354,Timeout,Timeout,,0.0,0.0,0.9992358316290284,0.3330786105430094,0.4710442883663101,,,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]",0.0,0.0,0.9992526964509924,0.33308423215033084,0.4710522385196263,0.0,0.0,0.9993036719161168,0.3331012239720389,0.4710762685843354,1980.0,1980.0,1782.0
MagicTelescope,0.8332281808622503,,,0.8332281808622503,0.0,,,,0.8288345947743826,,,0.8288345947743826,0.0,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]",,,0.8320568493900877,,,0.8320568493900877,0.0,0.8332281808622503,,,0.8332281808622503,0.0,1639.0,,
aaaData_for_UCI_named,1.0,,,1.0,0.0,,,,1.0,,,1.0,0.0,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 7, -K, 4, -depth, 5]",,,1.0,,,1.0,0.0,1.0,,,1.0,0.0,1583.0,,
analcatdata_authorship,0.981042654028436,,,0.981042654028436,0.0,,,,0.9810670321913644,,,0.9810670321913644,0.0,"best classifier: weka.classifiers.functions.Logistic
arguments: [-R, 4.2963711883511804E-4]",,,0.9811761564648556,,,0.9811761564648556,0.0,0.981042654028436,,,0.981042654028436,0.0,1514.0,,
arrhythmia,0.8053097345132744,,,0.8053097345132744,0.0,,,,0.8028992836072482,,,0.8028992836072482,0.0,"best classifier: weka.classifiers.bayes.BayesNet
arguments: [-D, -Q, weka.classifiers.bayes.net.search.local.TAN]",,,0.8194060652698589,,,0.8194060652698589,0.0,0.8053097345132744,,,0.8053097345132744,0.0,1676.0,,
audiology,0.9298245614035088,,,0.9298245614035088,0.0,,,,0.9283208020050124,,,0.9283208020050124,0.0,"best classifier: weka.classifiers.functions.Logistic
arguments: [-R, 2.2509781715920914E-5]",,,0.929766276155505,,,0.929766276155505,0.0,0.9298245614035088,,,0.9298245614035088,0.0,1726.0,,
avila-tr,0.9994249568717654,,,0.9994249568717654,0.0,,,,0.9994574016875308,,,0.9994574016875308,0.0,"best classifier: weka.classifiers.rules.DecisionTable
arguments: [-E, auc, -S, weka.attributeSelection.BestFirst, -X, 2]",,,0.9995249924327938,,,0.9995249924327938,0.0,0.9994249568717654,,,0.9994249568717654,0.0,1634.0,,
churn,0.9216,,,0.9216,0.0,,,,0.9124903157672404,,,0.9124903157672404,0.0,"best classifier: weka.classifiers.rules.JRip
arguments: [-N, 3.2535425399717908, -E, -P, -O, 4]",,,0.9183693913043476,,,0.9183693913043476,0.0,0.9216,,,0.9216,0.0,1530.0,,
cifar-10,0.0,0.0,0.0,0.0,0.0,Timeout,Timeout,Timeout,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1980.0,1980.0,1980.0
connect-4,0.7069271758436945,0.7069271758436945,0.7069271758436945,0.7069271758436945,0.0,,,,0.6539400220472215,0.6539400220472215,0.6539400220472215,0.6539400220472215,0.0,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]","best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]","best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]",0.6637036715960829,0.6637036715960829,0.6637036715960829,0.6637036715960829,0.0,0.7069271758436945,0.7069271758436945,0.7069271758436945,0.7069271758436945,0.0,1648.0,1644.0,1635.0
dataset_183_adult,0.8455490950782082,0.8455490950782082,0.8455490950782082,0.8455490950782082,0.0,,,,0.8398098650387092,0.8398098650387092,0.8398098650387092,0.8398098650387092,0.0,"best classifier: weka.classifiers.meta.Bagging
arguments: [-P, 74, -I, 4, -S, 1, -W, weka.classifiers.rules.PART, --, -N, 4, -M, 44, -R, -B]","best classifier: weka.classifiers.meta.Bagging
arguments: [-P, 74, -I, 4, -S, 1, -W, weka.classifiers.rules.PART, --, -N, 4, -M, 44, -R, -B]","best classifier: weka.classifiers.meta.Bagging
arguments: [-P, 74, -I, 4, -S, 1, -W, weka.classifiers.rules.PART, --, -N, 4, -M, 44, -R, -B]",0.8384656237980112,0.8384656237980112,0.8384656237980112,0.8384656237980112,0.0,0.8455490950782082,0.8455490950782082,0.8455490950782082,0.8455490950782082,0.0,1735.0,1725.0,1719.0
