test_f1score,best_model,hyper_parameters,test_accuracy,seed,ensemble_size,time_budget,dataset
0.9576,randomForest,103#22#5,0.9608,1,FALSE,480,~/smartml/machine1/churn_train.csv
0.9616,randomForest,159#22#1,0.9608,2,FALSE,480,~/smartml/machine1/churn_train.csv
0.9584,randomForest,141#16#5,0.96,3,FALSE,480,~/smartml/machine1/churn_train.csv
0.996553422,deepboost,13#0.332219934638199#0#l#1,0.996553422,1,FALSE,480,~/smartml/machine1/dataset_24_mushroom_train.csv
1,randomForest,185#21#2,1,2,FALSE,480,~/smartml/machine1/dataset_24_mushroom_train.csv
1,randomForest,160#18#2,1,3,FALSE,480,~/smartml/machine1/dataset_24_mushroom_train.csv
0.8432,rda,0.0517757879925271#0.88498280027026,0.8432,1,FALSE,480,~/smartml/machine2/dataset_60_waveform-5000_train.csv
0.8608,randomForest,159#20#58.25176923971738#NA&135#5#5&linear#NA#-5.92265191597758#-12.0420673659266#NA&0.0517757879925271#0.88498280027026&linear#NA#-5.7246300787485#-12.0420673659266#NA&linear#NA#-5.68890532786105#-7.15122518758496#NA&0.289272905175453#0.688945053272938,0.8624,2,FALSE,480,~/smartml/machine2/dataset_60_waveform-5000_train.csv
0.8472,rda,0.433431626072302#0.871801795957987,0.8472,3,FALSE,480,~/smartml/machine2/dataset_60_waveform-5000_train.csv
1,lda,-4.74249973995888#t,1,1,FALSE,480,~/smartml/machine2/dataset_61_iris_train.csv
0.973684211,randomForest,27#22#23,0.973684211,2,FALSE,480,~/smartml/machine2/dataset_61_iris_train.csv
1,neuralnet,4,0.973684211,3,FALSE,480,~/smartml/machine2/dataset_61_iris_train.csv
0.917637712,randomForest,196#30#5,0.916666667,1,FALSE,480,~/smartml/machine2/electricity-normalized_train.csv
0.918079096,randomForest,135#13#5,0.915430791,2,FALSE,480,~/smartml/machine2/electricity-normalized_train.csv
0.91852048,randomForest,135#23#1,0.919491525,3,FALSE,480,~/smartml/machine2/electricity-normalized_train.csv
