,time_1,accuracy_1,precision_1,recall_1,f1score_1,model_1,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1score_mean,f1score_std,error_1
AP_Breast_Lung,638.5593664646149,0.9576271186440678,0.9574126106528897,0.9576271186440678,0.9253731343283583,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=GaussianNB(priors=None))), ('logisticregression', LogisticRegression(C=15.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False))])",0.9576271186440678,0.0,0.9574126106528897,0.0,0.9576271186440678,0.0,0.9253731343283583,0.0,
AirlinesCodrnaAdult,613.3941476345062,,,,,,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.
MagicTelescope,646.4881408214569,0.8742376445846477,0.87369212675803,0.8742376445846477,0.8090676883780332,"Pipeline(memory=None,
     steps=[('variancethreshold', VarianceThreshold(threshold=0.1)), ('gradientboostingclassifier', GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.1, loss='deviance', max_depth=10,
              max_features=0.8, max_leaf_nodes=None,
              min_impuri...auto', random_state=None,
              subsample=0.7500000000000001, verbose=0, warm_start=False))])",0.8742376445846477,0.0,0.87369212675803,0.0,0.8742376445846477,0.0,0.8090676883780332,0.0,
arrhythmia,603.1192631721497,0.8672566371681416,0.8766539429314802,0.8672566371681416,0.8780487804878049,"Pipeline(memory=None,
     steps=[('gradientboostingclassifier', GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=6,
              max_features=0.35000000000000003, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
...      presort='auto', random_state=None, subsample=0.8, verbose=0,
              warm_start=False))])",0.8672566371681416,0.0,0.8766539429314802,0.0,0.8672566371681416,0.0,0.8780487804878049,0.0,
audiology,601.1530904769897,0.8947368421052632,0.8966861598440545,0.8947368421052632,0.7857142857142857,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fa77c3422f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...ax_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
     verbose=0))])",0.8947368421052632,0.0,0.8966861598440545,0.0,0.8947368421052632,0.0,0.7857142857142857,0.0,
dataset_31_credit-g,605.42862200737,0.744,0.7275726495726496,0.744,0.8288770053475936,"Pipeline(memory=None,
     steps=[('selectpercentile', SelectPercentile(percentile=57,
         score_func=<function f_classif at 0x7f45c5510e18>)), ('stackingestimator', StackingEstimator(estimator=LinearSVC(C=0.01, class_weight=None, dual=False, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=10...imators=100, n_jobs=1, oob_score=False, random_state=None,
           verbose=0, warm_start=False))])",0.744,0.0,0.7275726495726496,0.0,0.744,0.0,0.8288770053475936,0.0,
electricity-normalized,660.0006902217865,0.902542372881356,0.9024405327687042,0.902542372881356,0.8840823183536329,"Pipeline(memory=None,
     steps=[('randomforestclassifier', RandomForestClassifier(bootstrap=False, class_weight=None, criterion='gini',
            max_depth=None, max_features=0.5, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=10, min_samples_split=4,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.902542372881356,0.0,0.9024405327687042,0.0,0.902542372881356,0.0,0.8840823183536329,0.0,Timeout
gina_agnostic,660.000655412674,,,,,,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.
hiva_agnostic,660.0006577968597,,,,,,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.
openml_phpJNxH0q,601.2693135738373,0.9485714285714286,0.948403361344538,0.9485714285714286,0.9203539823008849,"Pipeline(memory=None,
     steps=[('featureagglomeration', FeatureAgglomeration(affinity='euclidean', compute_full_tree='auto',
           connectivity=None, linkage='complete', memory=None,
           n_clusters=2, pooling_func=<function mean at 0x7f0196258c80>)), ('stackingestimator', StackingEstimator(estimator=GaussianNB(...imators=100, n_jobs=1,
           oob_score=False, random_state=None, verbose=0, warm_start=False))])",0.9485714285714286,0.0,0.948403361344538,0.0,0.9485714285714286,0.0,0.9203539823008849,0.0,
phprAeXmK,660.0006699562073,,,,,,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.
vowel,602.543877363205,0.9919354838709677,0.9919354838709677,0.9919354838709677,0.9523809523809523,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=LinearSVC(C=25.0, class_weight=None, dual=False, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l1', random_state=None, tol=0.1,
     verbose=0))), ('gradientboostingclassifi...      presort='auto', random_state=None, subsample=1.0, verbose=0,
              warm_start=False))])",0.9919354838709677,0.0,0.9919354838709677,0.0,0.9919354838709677,0.0,0.9523809523809523,0.0,
