,time_1,accuracy_1,precision_1,recall_1,f1score_1,model_1,time_2,accuracy_2,precision_2,recall_2,f1score_2,model_2,error_3,time_3,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1score_mean,f1score_std,error_1,error_2,accuracy_3,precision_3,recall_3,f1score_3,model_3
AP_Breast_Lung,660.0007741451263,0.9576271186440678,0.9581493042387468,0.9576271186440678,0.9275362318840579,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.1, loss='deviance', max_depth=7,
              max_features=0.6000000000000001, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_imp...auto', random_state=None,
              subsample=0.6000000000000001, verbose=0, warm_start=False))])",660.0007636547089,,,,,,A pipeline has not yet been optimized. Please call fit() first.,660.000878572464,0.9576271186440678,0.0,0.9581493042387468,0.0,0.9576271186440678,0.0,0.9275362318840579,0.0,Timeout,A pipeline has not yet been optimized. Please call fit() first.,,,,,
AirlinesCodrnaAdult,2487.056111097336,,,,,,2202.391818523407,,,,,,A pipeline has not yet been optimized. Please call fit() first.,617.2615933418274,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,,,,,
MagicTelescope,616.4004058837891,0.8794952681388013,0.8793860677403051,0.8794952681388013,0.8161693936477381,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=GaussianNB(priors=None))), ('gradientboostingclassifier', GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.1, loss='deviance', max_depth=10,
              max_features=0.6500000000000001, max_leaf_n...auto', random_state=None,
              subsample=0.9000000000000001, verbose=0, warm_start=False))])",616.2278437614441,0.8769716088328076,0.8764158112479453,0.8769716088328076,0.8137535816618912,"Pipeline(memory=None,
     steps=[('gradientboostingclassifier', GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.1, loss='deviance', max_depth=10,
              max_features=1.0, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              m...auto', random_state=None,
              subsample=0.7500000000000001, verbose=0, warm_start=False))])","Estimator not fitted, call `fit` before exploiting the model.",660.0006835460663,0.8782334384858044,0.0012618296529968709,0.8779009394941253,0.001485128246179912,0.8782334384858044,0.0012618296529968709,0.8149614876548146,0.0012079059929234748,,,,,,,
arrhythmia,660.0007994174957,0.8584070796460177,0.8698064123399929,0.8584070796460177,0.8709677419354839,"Pipeline(memory=None,
     steps=[('polynomialfeatures', PolynomialFeatures(degree=2, include_bias=False, interaction_only=False)), ('randomforestclassifier', RandomForestClassifier(bootstrap=False, class_weight=None, criterion='gini',
            max_depth=None, max_features=0.1, max_leaf_nodes=None,
            min_impurity...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",602.765331029892,0.8849557522123894,0.887908403441308,0.8849557522123894,0.8907563025210085,"Pipeline(memory=None,
     steps=[('randomforestclassifier', RandomForestClassifier(bootstrap=False, class_weight=None, criterion='gini',
            max_depth=None, max_features=0.15000000000000002,
            max_leaf_nodes=None, min_impurity_decrease=0.0,
            min_impurity_split=None, min_samples_leaf=3,
            min_samples_split=18, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=1, oob_score=False, random_state=None,
            verbose=0, warm_start=False))])",,621.5295794010162,0.8731563421828908,0.011037337424111938,0.8804590570416906,0.007729439844607389,0.8731563421828908,0.011037337424111938,0.8823233153652789,0.008338781502064562,Timeout,,0.8761061946902655,0.8836623553437712,0.8761061946902655,0.8852459016393444,"Pipeline(memory=None,
     steps=[('randomforestclassifier', RandomForestClassifier(bootstrap=False, class_weight=None, criterion='gini',
            max_depth=None, max_features=0.15000000000000002,
            max_leaf_nodes=None, min_impurity_decrease=0.0,
            min_impurity_split=None, min_samples_leaf=5,
            min_samples_split=11, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=1, oob_score=False, random_state=None,
            verbose=0, warm_start=False))])"
audiology,602.1652264595032,0.8947368421052632,0.8966861598440545,0.8947368421052632,0.7857142857142857,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f5c735e92f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...ge', max_iter=1000, multi_class='ovr',
     penalty='l2', random_state=None, tol=1e-05, verbose=0))])",601.0816497802734,0.9122807017543859,0.9130168077536498,0.9122807017543859,0.8275862068965517,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=MultinomialNB(alpha=0.001, class_prior=None, fit_prior=False))), ('polynomialfeatures', PolynomialFeatures(degree=2, include_bias=False, interaction_only=False)), ('linearsvc', LinearSVC(C=10.0, class_weight=None, dual=False, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.001,
     verbose=0))])",,,0.9035087719298245,0.008771929824561375,0.9048514837988522,0.008165323954797632,0.9035087719298245,0.008771929824561375,0.8066502463054187,0.020935960591133007,,,,,,,
dataset_31_credit-g,609.0096263885498,0.736,0.725054221002059,0.736,0.8186813186813187,"Pipeline(memory=None,
     steps=[('stackingestimator-1', StackingEstimator(estimator=GaussianNB(priors=None))), ('stackingestimator-2', StackingEstimator(estimator=ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=None, max_features=0.55, max_leaf_nodes=None,
           min_imp...ha=0, reg_lambda=1, scale_pos_weight=1,
       seed=None, silent=None, subsample=0.8, verbosity=1))])",601.5072615146637,0.764,0.7567700623700624,0.764,0.8365650969529085,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.001, loss='deviance', max_depth=5,
              max_features=0.9500000000000001, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_i...imators=100, n_jobs=1,
           oob_score=False, random_state=None, verbose=0, warm_start=False))])",,601.4495162963867,0.7466666666666667,0.01236482466066095,0.7347612129912195,0.015598620021167487,0.7466666666666667,0.01236482466066095,0.8273043607669646,0.007314933202748707,,,0.74,0.7224593556015372,0.74,0.8266666666666667,"Pipeline(memory=None,
     steps=[('extratreesclassifier', ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=None, max_features=0.9500000000000001,
           max_leaf_nodes=None, min_impurity_decrease=0.0,
           min_impurity_split=None, min_samples_leaf=2,
           min_samples_split=18, min_weight_fraction_leaf=0.0,
           n_estimators=100, n_jobs=1, oob_score=False, random_state=None,
           verbose=0, warm_start=False))])"
electricity-normalized,617.3338298797607,0.9092514124293786,0.9092414401808345,0.9092514124293786,0.8925585284280936,"Pipeline(memory=None,
     steps=[('xgbclassifier', XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bynode=1, colsample_bytree=1, gamma=0, learning_rate=1.0,
       max_delta_step=0, max_depth=5, min_child_weight=3, missing=None,
       n_estimators=100, n_jobs=1, nthread=1, objective='binary:logistic',
       random_state=0, reg_alpha=0, reg_lambda=1, scale_pos_weight=1,
       seed=None, silent=None, subsample=1.0, verbosity=1))])",660.0005662441254,0.9254060734463276,0.9254307118700689,0.9254060734463276,0.9118230199311281,"Pipeline(memory=None,
     steps=[('randomforestclassifier', RandomForestClassifier(bootstrap=False, class_weight=None,
            criterion='entropy', max_depth=None,
            max_features=0.9500000000000001, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=2, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",,652.3861978054047,0.9192266949152543,0.007120390123614289,0.9192360614913707,0.007134562064068688,0.9192266949152543,0.007120390123614289,0.9044465257250862,0.008487064797771766,,Timeout,0.9230225988700564,0.9230360324232089,0.9230225988700564,0.9089580288160367,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=RandomForestClassifier(bootstrap=False, class_weight=None, criterion='gini',
            max_depth=None, max_features=0.6500000000000001,
            max_leaf_nodes=None, min_impurity_decrease=0.0,
            min_impurity_split=None, min_samp...ha=0, reg_lambda=1, scale_pos_weight=1,
       seed=None, silent=None, subsample=0.1, verbosity=1))])"
gina_agnostic,632.290913105011,0.9388696655132641,0.9388783599966205,0.9388696655132641,0.9360675512665861,"Pipeline(memory=None,
     steps=[('binarizer', Binarizer(copy=True, threshold=0.30000000000000004)), ('extratreesclassifier', ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=None, max_features=0.35000000000000003,
           max_leaf_nodes=None, min_impurity_decrease=0.0,
  ...imators=100, n_jobs=1, oob_score=False, random_state=None,
           verbose=0, warm_start=False))])",631.2638430595398,0.9388696655132641,0.9388783599966205,0.9388696655132641,0.9360675512665861,"Pipeline(memory=None,
     steps=[('xgbclassifier', XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bynode=1, colsample_bytree=1, gamma=0, learning_rate=0.1,
       max_delta_step=0, max_depth=7, min_child_weight=7, missing=None,
       n_estimators=100, n_jobs=1, nthread=1, objective='binary:logistic',
       random_state=0, reg_alpha=0, reg_lambda=1, scale_pos_weight=1,
       seed=None, silent=None, subsample=0.6000000000000001, verbosity=1))])",A pipeline has not yet been optimized. Please call fit() first.,660.0007364749908,0.9388696655132641,0.0,0.9388783599966205,0.0,0.9388696655132641,0.0,0.9360675512665861,0.0,,,,,,,
hiva_agnostic,660.0006778240204,,,,,,660.0007424354553,0.9669187145557656,0.9640298406697273,0.9669187145557656,0.28571428571428575,"Pipeline(memory=None,
     steps=[('zerocount', ZeroCount()), ('xgbclassifier', XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bynode=1, colsample_bytree=1, gamma=0, learning_rate=0.1,
       max_delta_step=0, max_depth=8, min_child_weight=3, missing=None,
       n_estimators=100, n_jobs=1, nthread=1, objective='binary:logistic',
       random_state=0, reg_alpha=0, reg_lambda=1, scale_pos_weight=1,
       seed=None, silent=None, subsample=0.35000000000000003, verbosity=1))])",,623.5490388870239,0.9636105860113422,0.003308128544423472,0.9508747619986186,0.013155078671108655,0.9636105860113422,0.003308128544423472,0.1655844155844156,0.12012987012987016,This RFE instance is not fitted yet. Call 'fit' with appropriate arguments before using this method.,Timeout,0.9603024574669187,0.93771968332751,0.9603024574669187,0.04545454545454545,"Pipeline(memory=None,
     steps=[('decisiontreeclassifier', DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=1,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=18,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])"
openml_phpJNxH0q,601.1102063655853,0.9657142857142857,0.9662197870178074,0.9657142857142857,0.9454545454545454,"Pipeline(memory=None,
     steps=[('nystroem', Nystroem(coef0=None, degree=None, gamma=0.1, kernel='linear',
     kernel_params=None, n_components=5, random_state=None)), ('kneighborsclassifier', KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=11, p=1,
           weights='uniform'))])",601.3266127109528,0.9485714285714286,0.948403361344538,0.9485714285714286,0.9203539823008849,"Pipeline(memory=None,
     steps=[('featureagglomeration', FeatureAgglomeration(affinity='euclidean', compute_full_tree='auto',
           connectivity=None, linkage='ward', memory=None, n_clusters=2,
           pooling_func=<function mean at 0x7fcdc0f66c80>)), ('gaussiannb', GaussianNB(priors=None))])",,604.0099012851715,0.9676190476190477,0.016385381461033546,0.9677315256445912,0.01643334864318658,0.9676190476190477,0.016385381461033546,0.9494215560354359,0.025507807802425578,,,0.9885714285714285,0.9885714285714285,0.9885714285714285,0.9824561403508771,"Pipeline(memory=None,
     steps=[('stackingestimator-1', StackingEstimator(estimator=GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=1.0, loss='deviance', max_depth=1,
              max_features=0.2, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=N...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])"
