,time_1,accuracy_1,precision_1,recall_1,f1score_1,model_1,time_2,accuracy_2,precision_2,recall_2,f1score_2,model_2,time_3,accuracy_3,precision_3,recall_3,f1score_3,model_3,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1score_mean,f1score_std,error_2,error_3,error_1
electricity-normalized,1919.9668576717377,0.9318502824858758,0.9318622414002778,0.9318502824858758,0.9193986218417206,"Pipeline(memory=None,
     steps=[('xgbclassifier', XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bynode=1, colsample_bytree=1, gamma=0, learning_rate=1.0,
       max_delta_step=0, max_depth=10, min_child_weight=1, missing=None,
       n_estimators=100, n_jobs=1, nthread=1, objective='binary:logistic',
       random_state=0, reg_alpha=0, reg_lambda=1, scale_pos_weight=1,
       seed=None, silent=None, subsample=0.9500000000000001, verbosity=1))])",1846.440941810608,0.9242584745762712,0.92420428444172,0.9242584745762712,0.9100628930817609,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=3,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=11, min_samples_split=2,
...auto', random_state=None,
              subsample=0.9000000000000001, verbose=0, warm_start=False))])",1877.9810404777527,0.9132238700564972,0.9131862804252263,0.9132238700564972,0.8971219256933542,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=None, max_features=0.8500000000000001,
            max_leaf_nodes=None, min_impurity_decrease=0.0,
            min_impurity_split=None, min_sa...imators=100, n_jobs=1,
           oob_score=False, random_state=None, verbose=0, warm_start=False))])",0.9231108757062149,0.007647376341911575,0.9230842687557413,0.007665450886414119,0.9231108757062149,0.007647376341911575,0.9088611468722786,0.009134036832480442,,,
AirlinesCodrnaAdult,1940.3850622177124,0.6125639863594826,0.6211456740315991,0.6125639863594826,0.6309886462943898,"Pipeline(memory=None, steps=[('gaussiannb', GaussianNB(priors=None))])",3641.49293756485,,,,,,3904.010008096695,,,,,,0.6125639863594826,0.0,0.6211456740315991,0.0,0.6125639863594826,0.0,0.6309886462943898,0.0,A pipeline has not yet been optimized. Please call fit() first.,A pipeline has not yet been optimized. Please call fit() first.,
openml_phpJNxH0q,1801.3980095386505,0.9714285714285714,0.9724223602484472,0.9714285714285714,0.9572649572649572,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=1.0, loss='deviance', max_depth=8,
              max_features=0.4, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=Non...usters=2, pooling_func=<function mean at 0x7fc70a707598>)), ('gaussiannb', GaussianNB(priors=None))])",1802.0265333652496,0.9885714285714285,0.9889588377723971,0.9885714285714285,0.9827586206896551,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=None, max_features=0.55, max_leaf_nodes=None,
           min_impurity_decrease=0.0, min_impurity_split=None,
           min_samples_leaf=20, min_...std=True)), ('bernoullinb', BernoulliNB(alpha=0.1, binarize=0.0, class_prior=None, fit_prior=True))])",1801.1015481948853,0.9771428571428571,0.9771428571428571,0.9771428571428571,0.9649122807017544,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('pipeline', Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=38, p...s=None)), ('bernoullinb', BernoulliNB(alpha=100.0, binarize=0.0, class_prior=None, fit_prior=True))])",0.9790476190476189,0.0071269664509979805,0.9795080183879005,0.0069550587350175885,0.9790476190476189,0.0071269664509979805,0.9683119528854555,0.01068176161877241,,,
gina_agnostic,1871.998199224472,0.9434832756632064,0.9436486243531127,0.9434832756632064,0.9407496977025392,"Pipeline(memory=None,
     steps=[('extratreesclassifier', ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=None, max_features=0.9000000000000001,
           max_leaf_nodes=None, min_impurity_decrease=0.0,
           min_impurity_split=None, min_samples_leaf=4,
           min_samples_split=6, min_weight_fraction_leaf=0.0,
           n_estimators=100, n_jobs=1, oob_score=False, random_state=None,
           verbose=0, warm_start=False))])",1931.9723541736603,0.9515570934256056,0.9516198982731213,0.9515570934256056,0.9490291262135921,"Pipeline(memory=None,
     steps=[('gradientboostingclassifier', GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.1, loss='deviance', max_depth=7,
              max_features=0.05, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              m...auto', random_state=None,
              subsample=0.9500000000000001, verbose=0, warm_start=False))])",1835.0705082416534,0.9400230680507498,0.9400174141167424,0.9400230680507498,0.9364303178484107,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.1, loss='deviance', max_depth=5,
              max_features=0.1, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=Non...      presort='auto', random_state=None, subsample=0.3, verbose=0,
              warm_start=False))])",0.9450211457131873,0.00483268169549271,0.9450953122476587,0.004845897856120195,0.9450211457131873,0.00483268169549271,0.9420697139215141,0.00522744840047283,,,
arrhythmia,1807.2490680217743,0.8584070796460177,0.8639578984505923,0.8584070796460177,0.8787878787878788,"Pipeline(memory=None,
     steps=[('selectpercentile', SelectPercentile(percentile=76,
         score_func=<function f_classif at 0x7f7bf1c52bf8>)), ('randomforestclassifier', RandomForestClassifier(bootstrap=False, class_weight=None,
            criterion='entropy', max_depth=None, max_features=0.4,
            max_leaf_node...mators=100, n_jobs=1, oob_score=False, random_state=None,
            verbose=0, warm_start=False))])",1802.6577475070953,0.8230088495575221,0.8249002255769565,0.8230088495575221,0.8461538461538463,"Pipeline(memory=None,
     steps=[('randomforestclassifier', RandomForestClassifier(bootstrap=False, class_weight=None,
            criterion='entropy', max_depth=None, max_features=0.25,
            max_leaf_nodes=None, min_impurity_decrease=0.0,
            min_impurity_split=None, min_samples_leaf=6,
            min_samples_split=9, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=1, oob_score=False, random_state=None,
            verbose=0, warm_start=False))])",1864.357535123825,0.831858407079646,0.8330500249809054,0.831858407079646,0.8527131782945736,"Pipeline(memory=None,
     steps=[('minmaxscaler', MinMaxScaler(copy=True, feature_range=(0, 1))), ('randomforestclassifier', RandomForestClassifier(bootstrap=False, class_weight=None,
            criterion='entropy', max_depth=None, max_features=0.3,
            max_leaf_nodes=None, min_impurity_decrease=0.0,
            min...mators=100, n_jobs=1, oob_score=False, random_state=None,
            verbose=0, warm_start=False))])",0.8377581120943952,0.015041355497323872,0.8406360496694848,0.016823322710011607,0.8377581120943952,0.015041355497323872,0.8592183010787663,0.01409450219808753,,,
audiology,1869.5094411373138,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.8947368421052632,"Pipeline(memory=None,
     steps=[('stackingestimator-1', StackingEstimator(estimator=DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=1,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=19, min_samples_spli...inomialNB(alpha=0.001, class_prior=None, fit_prior=True))), ('gaussiannb', GaussianNB(priors=None))])",1801.4588527679443,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.8947368421052632,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=BernoulliNB(alpha=0.01, binarize=0.0, class_prior=None, fit_prior=True))), ('linearsvc', LinearSVC(C=0.5, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='hinge', max_iter=1000, multi_class='ovr',
     penalty='l2', random_state=None, tol=0.01, verbose=0))])",1801.4092178344727,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.8947368421052632,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=BernoulliNB(alpha=0.01, binarize=0.0, class_prior=None, fit_prior=True))), ('linearsvc', LinearSVC(C=5.0, class_weight=None, dual=False, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=1e-05,
     verbose=0))])",0.9298245614035089,1.1102230246251565e-16,0.9298245614035089,1.1102230246251565e-16,0.9298245614035089,1.1102230246251565e-16,0.8947368421052632,0.0,,,
AP_Breast_Lung,1980.000658273697,,,,,,1980.0007350444794,,,,,,1818.9471912384033,0.9745762711864406,0.9745188676395057,0.9745762711864406,0.955223880597015,"Pipeline(memory=None,
     steps=[('rfe', RFE(estimator=ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=None, max_features=0.15000000000000002,
           max_leaf_nodes=None, min_impurity_decrease=0.0,
           min_impurity_split=None, min_samples_leaf=1,
           min_sa...auto', random_state=None,
              subsample=0.7500000000000001, verbose=0, warm_start=False))])",0.9745762711864406,0.0,0.9745188676395057,0.0,0.9745762711864406,0.0,0.955223880597015,0.0,A pipeline has not yet been optimized. Please call fit() first.,,A pipeline has not yet been optimized. Please call fit() first.
hiva_agnostic,1873.1011109352112,0.9688090737240076,0.9667736908180493,0.9688090737240076,0.3529411764705882,"Pipeline(memory=None,
     steps=[('variancethreshold', VarianceThreshold(threshold=0.01)), ('extratreesclassifier', ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=None, max_features=0.55, max_leaf_nodes=None,
           min_impurity_decrease=0.0, min_impurity_split=None,
           min_samples_leaf=1, min_samples_split=5,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=1,
           oob_score=False, random_state=None, verbose=0, warm_start=False))])",1980.0009350776672,,,,,,1842.6010010242462,0.9659735349716446,0.9602325776501921,0.9659735349716446,0.27999999999999997,"Pipeline(memory=None,
     steps=[('extratreesclassifier', ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=None, max_features=0.3, max_leaf_nodes=None,
           min_impurity_decrease=0.0, min_impurity_split=None,
           min_samples_leaf=3, min_samples_split=5,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=1,
           oob_score=False, random_state=None, verbose=0, warm_start=False))])",0.9673913043478262,0.001417769376181488,0.9635031342341207,0.0032705565839286077,0.9673913043478262,0.001417769376181488,0.31647058823529406,0.036470588235294116,A pipeline has not yet been optimized. Please call fit() first.,,
vowel,1825.7122719287872,1.0,1.0,1.0,1.0,"Pipeline(memory=None,
     steps=[('polynomialfeatures', PolynomialFeatures(degree=2, include_bias=False, interaction_only=False)), ('logisticregression', LogisticRegression(C=15.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False))])",1801.7898831367493,1.0,1.0,1.0,1.0,"Pipeline(memory=None,
     steps=[('kneighborsclassifier', KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=2, p=2,
           weights='distance'))])",,,,,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,
phprAeXmK,1937.116770029068,0.9574189409531956,0.952349619424096,0.9574189409531956,0.5739502540786307,"Pipeline(memory=None,
     steps=[('gradientboostingclassifier', GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=3,
              max_features=0.7000000000000001, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
 ...auto', random_state=None,
              subsample=0.9500000000000001, verbose=0, warm_start=False))])",1864.856909275055,0.9516719681377135,0.9443266038797351,0.9516719681377135,0.4514563106796116,"Pipeline(memory=None,
     steps=[('xgbclassifier', XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bynode=1, colsample_bytree=1, gamma=0, learning_rate=0.1,
       max_delta_step=0, max_depth=2, min_child_weight=18, missing=None,
       n_estimators=100, n_jobs=1, nthread=1, objective='binary:logistic',
       random_state=0, reg_alpha=0, reg_lambda=1, scale_pos_weight=1,
       seed=None, silent=None, subsample=0.8500000000000001, verbosity=1))])",1980.0007288455963,,,,,,0.9545454545454546,0.002873486407741044,0.9483381116519156,0.004011507772180456,0.9545454545454546,0.002873486407741044,0.5127032823791211,0.06124697169950952,,A pipeline has not yet been optimized. Please call fit() first.,
